flight_id,flight_time,route_length,departure_city,arrival_city,model,range,fuel_l_km,fuel_tank_l,fuel_r_plan,cnt_economy,seats_economy,pay_economy,plan_economy,cnt_business,seats_business,pay_business,plan_business
136698,49.0,631.0266514216619,Anapa,Belgorod,Sukhoi Superjet-100,3000,2.807228915662650625,15805,55268.81138764955,82,85,519600.00,538609.7560975609756110,12,12,226800.00,226800.000000000000
136187,100.0,1222.1311789570966,Anapa,Moscow,Boeing 737-300,4200,3.2218091697645601,20102,122849.17129739736,117,118,1434600.00,1446861.538461538516,12,12,439200.00,439200.000000000000
136774,50.0,631.0266514216619,Anapa,Belgorod,Sukhoi Superjet-100,3000,2.807228915662650625,15805,55268.81138764955,81,85,513300.00,538648.1481481481481450,12,12,226800.00,226800.000000000000
136474,98.0,1222.1311789570966,Anapa,Moscow,Boeing 737-300,4200,3.2218091697645601,20102,122849.17129739736,118,118,1446800.00,1446799.999999999956,12,12,439200.00,439200.000000000000
136873,51.0,631.0266514216619,Anapa,Belgorod,Sukhoi Superjet-100,3000,2.807228915662650625,15805,55268.81138764955,84,85,532200.00,538535.7142857142857155,12,12,226800.00,226800.000000000000
136391,100.0,1222.1311789570966,Anapa,Moscow,Boeing 737-300,4200,3.2218091697645601,20102,122849.17129739736,97,118,1190600.00,1448358.762886597898,10,12,366000.00,439200.000000000000
136843,50.0,631.0266514216619,Anapa,Belgorod,Sukhoi Superjet-100,3000,2.807228915662650625,15805,55268.81138764955,67,85,424500.00,538544.7761194029850745,11,12,207900.00,226800.000000000000
136306,100.0,1222.1311789570966,Anapa,Moscow,Boeing 737-300,4200,3.2218091697645601,20102,122849.17129739736,94,118,1150400.00,1444119.148936170268,8,12,292800.00,439200.000000000000
136943,50.0,631.0266514216619,Anapa,Belgorod,Sukhoi Superjet-100,3000,2.807228915662650625,15805,55268.81138764955,83,85,525900.00,538572.2891566265060200,11,12,207900.00,226800.000000000000
136324,101.0,1222.1311789570966,Anapa,Moscow,Boeing 737-300,4200,3.2218091697645601,20102,122849.17129739736,109,118,1337000.00,1447394.495412844080,9,12,329400.00,439200.000000000000
136793,50.0,631.0266514216619,Anapa,Belgorod,Sukhoi Superjet-100,3000,2.807228915662650625,15805,55268.81138764955,85,85,538500.00,538499.9999999999999975,12,12,226800.00,226800.000000000000
136450,102.0,1222.1311789570966,Anapa,Moscow,Boeing 737-300,4200,3.2218091697645601,20102,122849.17129739736,97,118,1188200.00,1445439.175257731932,10,12,366000.00,439200.000000000000
136805,50.0,631.0266514216619,Anapa,Belgorod,Sukhoi Superjet-100,3000,2.807228915662650625,15805,55268.81138764955,85,85,538500.00,538499.9999999999999975,11,12,207900.00,226800.000000000000
136418,100.0,1222.1311789570966,Anapa,Moscow,Boeing 737-300,4200,3.2218091697645601,20102,122849.17129739736,88,118,1078400.00,1446036.363636363690,9,12,329400.00,439200.000000000000
136768,50.0,631.0266514216619,Anapa,Belgorod,Sukhoi Superjet-100,3000,2.807228915662650625,15805,55268.81138764955,85,85,538500.00,538499.9999999999999975,12,12,226800.00,226800.000000000000
136491,101.0,1222.1311789570966,Anapa,Moscow,Boeing 737-300,4200,3.2218091697645601,20102,122849.17129739736,93,118,1139400.00,1445690.322580645108,10,12,366000.00,439200.000000000000
136800,51.0,631.0266514216619,Anapa,Belgorod,Sukhoi Superjet-100,3000,2.807228915662650625,15805,55268.81138764955,72,85,456000.00,538333.3333333333333305,10,12,189000.00,226800.000000000000
136273,99.0,1222.1311789570966,Anapa,Moscow,Boeing 737-300,4200,3.2218091697645601,20102,122849.17129739736,117,118,1434600.00,1446861.538461538516,12,12,439200.00,439200.000000000000
136913,49.0,631.0266514216619,Anapa,Belgorod,Sukhoi Superjet-100,3000,2.807228915662650625,15805,55268.81138764955,80,85,506400.00,538050.0000000000000000,10,12,189000.00,226800.000000000000
136352,100.0,1222.1311789570966,Anapa,Moscow,Boeing 737-300,4200,3.2218091697645601,20102,122849.17129739736,82,118,1006400.00,1448234.146341463406,10,12,366000.00,439200.000000000000
136865,50.0,631.0266514216619,Anapa,Belgorod,Sukhoi Superjet-100,3000,2.807228915662650625,15805,55268.81138764955,77,85,487500.00,538149.3506493506493480,11,12,207900.00,226800.000000000000
136447,100.0,1222.1311789570966,Anapa,Moscow,Boeing 737-300,4200,3.2218091697645601,20102,122849.17129739736,107,118,1312600.00,1447540.186915887824,9,12,329400.00,439200.000000000000
136141,102.0,1222.1311789570966,Anapa,Moscow,Boeing 737-300,4200,3.2218091697645601,20102,122849.17129739736,98,118,1200400.00,1445379.591836734730,11,12,402600.00,439200.000000000000
136911,50.0,631.0266514216619,Anapa,Belgorod,Sukhoi Superjet-100,3000,2.807228915662650625,15805,55268.81138764955,77,85,487500.00,538149.3506493506493480,10,12,189000.00,226800.000000000000
136691,49.0,631.0266514216619,Anapa,Belgorod,Sukhoi Superjet-100,3000,2.807228915662650625,15805,55268.81138764955,76,85,481800.00,538855.2631578947368430,11,12,207900.00,226800.000000000000
136223,101.0,1222.1311789570966,Anapa,Moscow,Boeing 737-300,4200,3.2218091697645601,20102,122849.17129739736,110,118,1349200.00,1447323.636363636310,11,12,402600.00,439200.000000000000
136872,50.0,631.0266514216619,Anapa,Belgorod,Sukhoi Superjet-100,3000,2.807228915662650625,15805,55268.81138764955,85,85,538500.00,538499.9999999999999975,12,12,226800.00,226800.000000000000
136143,100.0,1222.1311789570966,Anapa,Moscow,Boeing 737-300,4200,3.2218091697645601,20102,122849.17129739736,94,118,1151600.00,1445625.531914893612,11,12,402600.00,439200.000000000000
136688,50.0,631.0266514216619,Anapa,Belgorod,Sukhoi Superjet-100,3000,2.807228915662650625,15805,55268.81138764955,79,85,500700.00,538727.8481012658227875,10,12,189000.00,226800.000000000000
136465,102.0,1222.1311789570966,Anapa,Moscow,Boeing 737-300,4200,3.2218091697645601,20102,122849.17129739736,118,118,1446800.00,1446799.999999999956,12,12,439200.00,439200.000000000000
136886,50.0,631.0266514216619,Anapa,Belgorod,Sukhoi Superjet-100,3000,2.807228915662650625,15805,55268.81138764955,78,85,494400.00,538769.2307692307692275,12,12,226800.00,226800.000000000000
136385,100.0,1222.1311789570966,Anapa,Moscow,Boeing 737-300,4200,3.2218091697645601,20102,122849.17129739736,116,118,1422400.00,1446924.137931034438,12,12,439200.00,439200.000000000000
136771,49.0,631.0266514216619,Anapa,Belgorod,Sukhoi Superjet-100,3000,2.807228915662650625,15805,55268.81138764955,71,85,449100.00,537654.9295774647887300,11,12,207900.00,226800.000000000000
136318,102.0,1222.1311789570966,Anapa,Moscow,Boeing 737-300,4200,3.2218091697645601,20102,122849.17129739736,93,118,1141800.00,1448735.483870967780,11,12,402600.00,439200.000000000000
136742,50.0,631.0266514216619,Anapa,Belgorod,Sukhoi Superjet-100,3000,2.807228915662650625,15805,55268.81138764955,85,85,538500.00,538499.9999999999999975,12,12,226800.00,226800.000000000000
136257,100.0,1222.1311789570966,Anapa,Moscow,Boeing 737-300,4200,3.2218091697645601,20102,122849.17129739736,100,118,1226000.00,1446680.000000000000,11,12,402600.00,439200.000000000000
136725,49.0,631.0266514216619,Anapa,Belgorod,Sukhoi Superjet-100,3000,2.807228915662650625,15805,55268.81138764955,83,85,525900.00,538572.2891566265060200,9,12,170100.00,226800.000000000000
136338,100.0,1222.1311789570966,Anapa,Moscow,Boeing 737-300,4200,3.2218091697645601,20102,122849.17129739736,116,118,1422400.00,1446924.137931034438,12,12,439200.00,439200.000000000000
136738,49.0,631.0266514216619,Anapa,Belgorod,Sukhoi Superjet-100,3000,2.807228915662650625,15805,55268.81138764955,76,85,481800.00,538855.2631578947368430,11,12,207900.00,226800.000000000000
